"marketTicker","eventTitle","marketTitle","closeDate","volume","yesPrice","noPrice","lastTradePrice","position","averagePrice","exposure","positionReturns","lockedInReturns","totalReturns"
"KXARREST-27JAN-PBON","Who will be arrested before 2027?","Pam Bondi","Dec 31, 2026 at 11:59pm EST","11446.06","6.9¢","94.9¢","7.1¢","No x 1","93¢","$0.93","-$0.00","$0.00","-$0.00"
"KXARREST-27JAN-THOM","Who will be arrested before 2027?","Tom Homan","Dec 31, 2026 at 11:59pm EST","3539","13¢","92¢","8¢","No x 1","93¢","$0.92","-$0.01","$0.00","-$0.01"
"KXALBUMDEBUT-26AUG15-PET","Will Ariana Grande's 'petal' debut at #1?","petal","Aug 9, 2026 at 11:59pm EDT","5807","97¢","5¢","97¢","No x 2","6¢","$0.12","-$0.07","$0.00","-$0.07"
"KXALBUMDEBUT-26AUG01-DAU","Will Gracie Abrams's 'Daughter From Hell ' debut at #1?","Daughter From Hell","Jul 26, 2026 at 11:59pm EDT","1428","76¢","25¢","71¢","No x 2","31¢","$0.59","-$0.04","$0.00","-$0.04"
"KXABRAHAMSA-29-JAN20","Will Israel and Saudi Arabia normalize relations during Trump's term?","During Trump's term","Jan 20, 2029 at 10:00am EST","55195.5","54¢","47¢","53¢","No x 2","49¢","$0.94","-$0.04","$0.00","-$0.04"
"KXACQANNOUNCESPACEX-28JAN01","Will SpaceX acquire any major U.S. telecom business before 2028?","Yes","Dec 31, 2027 at 11:59pm EST","7671.5","31¢","74¢","31¢","No x 2","75¢","$1.48","-$0.13","$0.00","-$0.13"
"KXALIENS-27","Will the U.S. confirm that aliens exist?","Before 2027","Jan 1, 2027 at 10:00am EST","24695224.55","10.4¢","90.6¢","10.4¢","No x 1","90¢","$0.90","-$0.01","$0.00","-$0.01"
"KXALIENS-27-28","Will the U.S. confirm that aliens exist?","Before 2028","Jan 1, 2028 at 10:00am EST","269531.92","23¢","78¢","22¢","No x 1","79¢","$0.78","-$0.01","$0.00","-$0.01"
"KXALIENS-27-29","Will the U.S. confirm that aliens exist?","Before Jan 20, 2029","Jan 20, 2029 at 10:00am EST","364435.5","30¢","71¢","30¢","No x 1","71¢","$0.70","-$0.01","$0.00","-$0.01"
"KXALBUMEQUIV-XPE26JUL09-10K","xperiment: First Week Album Equivalent Units","Above 10K","Jul 12, 2026 at 10:00am EDT","52","98¢","3¢","85¢","No x 1","16¢","$0.15","-$0.01","$0.00","-$0.01"
"KXALBUMEQUIV-XPE26JUL09-20K","xperiment: First Week Album Equivalent Units","Above 20K","Jul 12, 2026 at 10:00am EDT","32","98¢","3¢","98¢","No x 1","13¢","$0.12","-$0.11","$0.00","-$0.11"
"KXALBUMEQUIV-XPE26JUL09-30K","xperiment: First Week Album Equivalent Units","Above 30K","Jul 12, 2026 at 10:00am EDT","1178","97¢","4¢","97¢","No x 1","14¢","$0.13","-$0.11","$0.00","-$0.11"
"KXALBUMEQUIV-XPE26JUL09-40K","xperiment: First Week Album Equivalent Units","Above 40K","Jul 12, 2026 at 10:00am EDT","697","96¢","6¢","86¢","No x 1","15¢","$0.14","-$0.01","$0.00","-$0.01"
"KXALBUMEQUIV-XPE26JUL09-50K","xperiment: First Week Album Equivalent Units","Above 50K","Jul 12, 2026 at 10:00am EDT","484.99","89¢","16¢","85¢","No x 1","16¢","$0.15","-$0.01","$0.00","-$0.01"
